Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,165.839996,171.895004,158.300003,158.729996,158.729996,89019500
2021-11-08,161.764999,169.630005,159.479996,166.809998,166.809998,77939300
2021-11-15,167.220001,169.940002,140.000000,140.339996,140.339996,130519900
2021-11-22,139.899994,140.699997,131.220001,133.350006,133.350006,85318600
2021-11-29,134.250000,134.550003,108.699997,111.959999,111.959999,185223200
2021-12-06,113.639999,129.449997,113.430000,125.059998,125.059998,142436800
2021-12-13,123.000000,127.650002,117.769997,122.099998,122.099998,100720000
2021-12-20,118.500000,122.980003,113.695000,118.660004,118.660004,84072100
2021-12-27,117.800003,124.300003,110.379997,118.790001,118.790001,125741100
2022-01-03,119.379997,133.880005,115.769997,129.809998,129.809998,144409200
2022-01-10,131.990005,138.699997,126.230003,131.570007,131.570007,111452300
2022-01-17,126.269997,136.750000,122.521004,123.230003,123.230003,96095200
2022-01-24,119.320000,122.459999,110.059998,115.230003,115.230003,118611700
2022-01-31,118.169998,128.000000,117.500000,122.220001,122.220001,79622400
2022-02-07,116.099998,128.339996,113.599998,122.250000,122.250000,99189800
2022-02-14,120.559998,129.399994,117.199997,118.989998,118.989998,82890300
2022-02-21,114.000000,115.400002,100.019997,107.940002,107.940002,102967400
2022-02-28,105.970001,111.250000,99.330002,100.599998,100.599998,111374400
2022-03-07,99.559998,103.360001,86.680000,86.709999,86.709999,141821500
2022-03-14,80.699997,111.739998,73.279999,108.300003,108.300003,480481200
2022-03-21,102.809998,124.111000,98.699997,112.989998,112.989998,326928700
2022-03-28,113.860001,120.101997,108.709999,110.199997,110.199997,173723800
2022-04-04,115.699997,118.220001,102.610001,103.529999,103.529999,145683500
2022-04-11,101.089996,103.919998,95.305000,95.489998,95.489998,86719300
2022-04-18,93.769997,95.279999,85.400002,86.489998,86.489998,114748200
2022-04-25,82.699997,103.519997,81.800003,97.089996,97.089996,137861100
2022-05-02,96.410004,102.690002,88.709999,90.050003,90.050003,95677900
2022-05-09,86.955002,88.639999,78.010002,87.989998,87.989998,115613400
2022-05-16,87.699997,94.480003,84.730003,86.790001,86.790001,107763600
2022-05-23,87.059998,95.089996,81.070000,93.410004,93.410004,129847300
2022-05-30,98.330002,99.320000,91.879997,93.209999,93.209999,96604900
2022-06-06,99.639999,121.055000,97.915001,109.839996,109.839996,287954400
2022-06-13,103.610001,112.750000,97.580002,102.239998,102.239998,184367400
2022-06-20,105.959999,118.089996,103.080002,117.620003,117.620003,118466100
2022-06-27,119.970001,121.379997,111.379997,116.000000,116.000000,84693200
2022-07-04,114.510002,125.839996,112.139999,120.900002,120.900002,92635400
2022-07-11,115.459999,115.580002,97.839996,102.440002,102.440002,139317000
2022-07-18,105.879997,107.160004,99.680000,100.610001,100.610001,98929100
2022-07-25,100.500000,105.250000,89.110001,89.370003,89.370003,157052400
2022-08-01,89.190002,103.000000,88.000000,92.559998,92.559998,164127000
2022-08-08,91.470001,97.709999,88.559998,94.769997,94.769997,86162000
2022-08-15,93.199997,94.629997,88.519997,89.629997,89.629997,66702700
2022-08-22,89.570000,104.849998,86.709999,98.000000,98.000000,140643200
2022-08-29,98.959999,100.910004,90.769997,91.800003,91.800003,76655200
2022-09-05,89.320000,92.900002,87.755997,92.139999,92.139999,52364100
2022-09-12,92.419998,94.839996,85.419998,86.430000,86.430000,79108200
2022-09-19,85.099998,88.730003,77.599998,78.800003,78.800003,95415200
2022-09-26,79.940002,81.779999,76.279999,79.989998,79.989998,90585700
2022-10-03,79.760002,86.290001,78.050003,81.239998,81.239998,67900200
2022-10-10,79.769997,79.790001,71.400002,73.019997,73.019997,76945400
2022-10-17,75.150002,78.639999,69.464996,72.180000,72.180000,91234600
2022-10-24,63.389999,69.800003,58.009998,63.740002,63.740002,277690200
2022-10-31,63.490002,64.849998,63.220001,63.580002,63.580002,20623800
2022-11-01,68.010002,68.449997,66.589996,66.620003,66.620003,22817789
